name,total,percent,code
Albania,-.63,0.000730727073438,ALB
Algeria,.12,0.000730727073438,DZA
Antigua And Barbuda,-1.14,0.00109609061016,ATG
Argentina,-2.8,0.0189989039094,ARG
Armenia,-.11,0.000365363536719,ARM
Australia,-.49,0.0124223602484,AUS
Austria,1.15,0.00219218122031,AUT
Azerbaijan,3.54,0.00109609061016,AZE
Bangladesh,-.5,0.00109609061016,BGD
Belarus,4.19,0.000730727073438,BLR
Belize,-10.95,0.000365363536719,BLZ
Bermuda,0,0.000365363536719,BMU
"Bolivia, Plurinational State Of",-7.42,0.00109609061016,BOL
Bosnia And Herzegovina,.65,0.000365363536719,BIH
Botswana,-5.08,0.000365363536719,BWA
Brazil,-6.36,0.116550968213,BRA
Bulgaria,5.15,0.000730727073438,BGR
Burundi,-.5,0.000365363536719,BDI
Cambodia,-19.76,0.000365363536719,KHM
Cameroon,-11.64,0.00109609061016,CMR
Canada,-.13,0.0226525392766,CAN
Chile,3.32,0.00840336134454,CHL
China,5.45,0.00949945195469,CHN
Colombia,-5.33,0.011691633175,COL
Costa Rica,3.76,0.00328827183047,CRI
Croatia,1.26,0.000365363536719,HRV
Cuba,11.6,0.00109609061016,CUB
Czechia,.52,0.00219218122031,CZE
Denmark,1.77,0.0018268176836,DNK
Dominican Republic,18.18,0.0018268176836,DOM
Ecuador,-2.33,0.0076726342711,ECU
Egypt,.03,0.00474972597735,EGY
El Salvador,-5.4,0.0018268176836,SLV
Ethiopia,-2.7,0.000365363536719,ETH
Fiji,3.52,0.000730727073438,FJI
Finland,1.29,0.00328827183047,FIN
France,4.67,0.00840336134454,FRA
Georgia,1.02,0.00109609061016,GEO
Germany,.36,0.0230179028133,DEU
Ghana,3.12,0.00328827183047,GHA
Greece,5.86,0.00511508951407,GRC
Guatemala,-11.28,0.00474972597735,GTM
Guyana,-.68,0.000365363536719,GUY
Haiti,-.69,0.000365363536719,HTI
Honduras,-31.67,0.00219218122031,HND
Hungary,2.81,0.00328827183047,HUN
India,2.26,0.0255754475703,IND
Indonesia,-15.2,0.00255754475703,IDN
Iraq,.06,0.000730727073438,IRQ
Ireland,4.2,0.00255754475703,IRL
Israel,1.52,0.00109609061016,ISR
Italy,5.8,0.00949945195469,ITA
Jamaica,-.87,0.000365363536719,JAM
Japan,.03,0.00292290829375,JPN
Jordan,0,0.00146145414688,JOR
Kazakhstan,-.04,0.000365363536719,KAZ
Kenya,-.55,0.00365363536719,KEN
"Korea, Republic Of",-26.33,0.00401899890391,KOR
Kyrgyzstan,-1.04,0.000365363536719,KGZ
Latvia,2.95,0.000730727073438,LVA
Lebanon,.61,0.00109609061016,LBN
Liberia,-7.78,0.000730727073438,LBR
Libya,0,0.000365363536719,LBY
Malawi,-7.94,0.0018268176836,MWI
Malaysia,-.56,0.00438436244063,MYS
Mexico,-1.92,0.0295944464742,MEX
Mongolia,.01,0.000365363536719,MNG
Morocco,1.52,0.00109609061016,MAR
Mozambique,-6.91,0.00146145414688,MOZ
Myanmar,-15.54,0.000730727073438,MMR
Nepal,-8.33,0.00109609061016,NPL
Netherlands,.94,0.00949945195469,NLD
New Zealand,-1.12,0.00365363536719,NZL
Nicaragua,-11.63,0.00146145414688,NIC
Nigeria,-11.24,0.014249177932,NGA
Norway,-.06,0.00365363536719,NOR
Pakistan,-1.37,0.00401899890391,PAK
Panama,-5.69,0.000730727073438,PAN
Paraguay,-14.68,0.00109609061016,PRY
Peru,-3.09,0.00657654366094,PER
Philippines,4.98,0.00511508951407,PHL
Poland,1.81,0.00109609061016,POL
Portugal,-2.81,0.00803799780782,PRT
Puerto Rico,23.55,0.000730727073438,PRI
Romania,2.04,0.00365363536719,ROU
Russian Federation,.4,0.00511508951407,RUS
Rwanda,6.57,0.000730727073438,RWA
Saudi Arabia,0,0.000365363536719,SAU
Senegal,1,0.000365363536719,SEN
Serbia,3,0.00109609061016,SRB
Sierra Leone,-.03,0.000730727073438,SLE
Singapore,-1.34,0.00401899890391,SGP
Slovakia,.39,0.00109609061016,SVK
Somalia,-3.06,0.000365363536719,SOM
South Africa,0,0.00657654366094,ZAF
Spain,1.17,0.0379978078188,ESP
Sri Lanka,3.41,0.000730727073438,LKA
Sudan,-4.85,0.000365363536719,SDN
Sweden,.53,0.00730727073438,SWE
Switzerland,2.61,0.00328827183047,CHE
"Tanzania, United Republic Of",-11.13,0.000365363536719,TZA
Thailand,4.69,0.000730727073438,THA
Timor-Leste,-18.8,0.000365363536719,TLS
Togo,-9.13,0.000365363536719,TGO
Trinidad And Tobago,-1.21,0.0018268176836,TTO
Tunisia,2.56,0.00109609061016,TUN
Turkey,2.72,0.00255754475703,TUR
Uganda,13.42,0.000365363536719,UGA
Ukraine,.66,0.0109609061016,UKR
United Arab Emirates,.93,0.000365363536719,ARE
United Kingdom,1.52,0.0317866276946,GBR
United States,.88,0.388746803069,USA
Uruguay,5.98,0.00146145414688,URY
"Venezuela, Bolivarian Republic Of",-6.05,0.0102301790281,VEN
Viet Nam,18.87,0.000365363536719,VNM
Zimbabwe,-20.94,0.00109609061016,ZWE
